status,url,urlFinal,lastErrorMessage,bullJobId
"ERROR","http://nfe.sefaz.ba.gov.br/servicos/nfce/modulos/geral/NFCEC_consulta_chave_acesso.aspx?p=29241208743025007442650020000152391951407338|2|1|1|59e09530c0444def77e6bc35487730d7b7403d56","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241208743025007442650020000152391951407338|2|1|1|59e09530c0444def77e6bc35487730d7b7403d56","	Nota Fiscal de Consumidor Eletrônica Portal Estadual da NFC-e       ................. P R O D U Ç Ã O ...................    Chave de acesso:      Código impresso ao lado   	 Se não conseguir visualizar a imagem, clique aqui.    Ocorreu um erro: Object reference not set to an instance of an object.        V. 02.05.00   SECRETARIA DA FAZENDA DO ESTADO DA BAHIA - Elemento #tabResult tr não encontrado na página.","914"
"ERROR","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241200776574135914653180001137081175540332|2|1|1|d6c18f40bd19c3c260e3fe866cc200f54751f0e5","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241200776574135914653180001137081175540332|2|1|1|d6c18f40bd19c3c260e3fe866cc200f54751f0e5","	Nota Fiscal de Consumidor Eletrônica Portal Estadual da NFC-e       ................. P R O D U Ç Ã O ...................    Chave de acesso:      Código impresso ao lado   	 Se não conseguir visualizar a imagem, clique aqui.    Ocorreu um erro: Object reference not set to an instance of an object.        V. 02.05.00   SECRETARIA DA FAZENDA DO ESTADO DA BAHIA - Elemento #tabResult tr não encontrado na página.","912"
"ERROR","http://nfe.sefaz.ba.gov.br/servicos/nfce/modulos/geral/NFCEC_consulta_chave_acesso.aspx?p=29241210230480003156650020006503391156773634|2|1|1|0AA719479F05706226EAAFA9494490E39EDCE1B2","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241210230480003156650020006503391156773634|2|1|1|0AA719479F05706226EAAFA9494490E39EDCE1B2","	Nota Fiscal de Consumidor Eletrônica Portal Estadual da NFC-e       ................. P R O D U Ç Ã O ...................    Chave de acesso:      Código impresso ao lado   	 Se não conseguir visualizar a imagem, clique aqui.    Ocorreu um erro: Object reference not set to an instance of an object.        V. 02.05.00   SECRETARIA DA FAZENDA DO ESTADO DA BAHIA - Elemento #tabResult tr não encontrado na página.","916"
"ERROR","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241205349958000106650040003473369175470648|2|1|21|61.70","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241205349958000106650040003473369175470648|2|1|21|61.70","	Nota Fiscal de Consumidor Eletrônica Portal Estadual da NFC-e      [QRCode v2.00]: Problema(s) apresentado(s) no QR Code: Hash do QR Code diferente de 40 caracteres.       SECRETARIA DA FAZENDA DO ESTADO DA BAHIA - Elemento #tabResult tr não encontrado na página.","1225"
"ERROR","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241206182636000188650100000197171654398730|2|1|1|7f7e2996a335472b73f3003bfaedb","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241206182636000188650100000197171654398730|2|1|1|7f7e2996a335472b73f3003bfaedb","	Nota Fiscal de Consumidor Eletrônica Portal Estadual da NFC-e      [QRCode v2.00]: Problema(s) apresentado(s) no QR Code: Hash do QR Code diferente de 40 caracteres.       SECRETARIA DA FAZENDA DO ESTADO DA BAHIA - Elemento #tabResult tr não encontrado na página.","1286"
"ERROR","http://nfe.sefaz.ba.gov.br/servicos/nfce/modulos/geral/NFCEC_consulta_chave_acesso.aspx?p=29241236442873000100650020000289111226645374|2|1|1|eeaad755106d23ca7bf2b455b8d51ab54ba28a43","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241236442873000100650020000289111226645374|2|1|1|eeaad755106d23ca7bf2b455b8d51ab54ba28a43","	Nota Fiscal de Consumidor Eletrônica Portal Estadual da NFC-e      [QRCode v2.00]: 103 - Identificador de CSC inexistente.      SECRETARIA DA FAZENDA DO ESTADO DA BAHIA - Elemento #tabResult tr não encontrado na página.","1338"
"ERROR","http://nfe.sefaz.ba.gov.br/servicos/nfce/modulos/geral/NFCEC_consulta_chave_acesso.aspx?p=29241236548299000160651020000032221119149935|2|1|1|B09A940D5DC9B0048C4A3BA582319A0B7FB27ED3","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241236548299000160651020000032221119149935|2|1|1|B09A940D5DC9B0048C4A3BA582319A0B7FB27ED3","	Nota Fiscal de Consumidor Eletrônica Portal Estadual da NFC-e      [QRCode v2.00]: Não foi possível obter informações sobre a NFC-e.      SECRETARIA DA FAZENDA DO ESTADO DA BAHIA - Elemento #tabResult tr não encontrado na página.","1555"
"ERROR","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241253273781000154650010000269919546147130|2|1|15|155.98|574D6B71624F59594C794570484F2F4C7874554D7A59536F5964303D|1|DD2BD653F58D665E63BCA2D108AD7B45F03C92C3","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241253273781000154650010000269919546147130|2|1|15|155.98|574D6B71624F59594C794570484F2F4C7874554D7A59536F5964303D|1|DD2BD653F58D665E63BCA2D108AD7B45F03C92C3","	Nota Fiscal de Consumidor Eletrônica Portal Estadual da NFC-e      [QRCode v2.00]: Não foi possível obter informações sobre a NFC-e.      SECRETARIA DA FAZENDA DO ESTADO DA BAHIA - Elemento #tabResult tr não encontrado na página.","1708"
"ERROR","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241217749641000146650010001577739914137387|2|1|08|29.12","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241217749641000146650010001577739914137387|2|1|08|29.12","	Nota Fiscal de Consumidor Eletrônica Portal Estadual da NFC-e      [QRCode v2.00]: Problema(s) apresentado(s) no QR Code: Hash do QR Code diferente de 40 caracteres.       SECRETARIA DA FAZENDA DO ESTADO DA BAHIA - Elemento #tabResult tr não encontrado na página.","1733"
"ERROR","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241202125266001168650020000567751001110946|2|1|4|14FF795B33535CC0CC18294A6A7BD14507E4BDC3","http://nfe.sefaz.ba.gov.br/servicos/nfce/qrcode.aspx?p=29241202125266001168650020000567751001110946|2|1|4|14FF795B33535CC0CC18294A6A7BD14507E4BDC3","	Nota Fiscal de Consumidor Eletrônica Portal Estadual da NFC-e          Chave de acesso:      Código impresso ao lado   	 Se não conseguir visualizar a imagem, clique aqui.    Ocorreu um erro: Object reference not set to an instance of an object.        V. 02.05.00   SECRETARIA DA FAZENDA DO ESTADO DA BAHIA - Elemento #tabResult tr não encontrado na página.","1780"
